category;description;description_stem
A00;colera devida vibrio cholerae 01 , biotipo cholerae;col dev vibri cholera 01 , biotip cholera
A00;colera devida vibrio cholerae 01 , biotipo tor;col dev vibri cholera 01 , biotip tor
A00;colera especificada;col especific
A01;febre tifoide;febr tifoid
A01;febre paratifoide;febr paratifoid
A01;febre paratifoide;febr paratifoid
A01;febre paratifoide;febr paratifoid
A01;febre paratifoide especificada;febr paratifoid especific
A02;enterite salmonela;enterit salmonel
A02;septicemia salmonela;septicem salmonel
A02;infeccoes localizadas salmonela;infecco localiz salmonel
A02;outras infeccoes especificadas salmonela;outr infecco especific salmonel
A02;infeccao especificada salmonela;infecca especific salmonel
A03;shiguelose devida shigella dysenteriae;shiguelos dev shigell dysenteria
A03;shiguelose devida shigella flexneri;shiguelos dev shigell flexner
A03;shiguelose devida shigella boydii;shiguelos dev shigell boydi
A03;shiguelose devida shigella sonnei;shiguelos dev shigell sonn
A03;outras shigueloses;outr shiguelos
A03;shiguelose especificada;shiguelos especific
A04;infeccao escherichia coli enteropatogenica;infecca escherich col enteropatogen
A04;infeccao escherichia coli enterotoxigenica;infecca escherich col enterotoxigen
A04;infeccao escherichia coli enteroinvasiva;infecca escherich col enteroinvas
A04;infeccao escherichia coli enterohemorragica;infecca escherich col enterohemorrag
A04;outras infeccoes intestinais escherichia coli;outr infecco intestin escherich col
A04;enterite campylobacter;enterit campylobact
A04;enterite devida yersinia enterocolitica;enterit dev yersin enterocolit
A04;enterocolite devida clostridium difficile;enterocolit dev clostridium difficil
A04;outras infeccoes bacterianas intestinais especificadas;outr infecco bacterian intestin especific
A04;infeccao intestinal bacteriana especificada;infecca intestinal bacterian especific
A05;intoxicacao alimentar estafilococica;intoxic aliment estafilococ
A05;botulismo;botul
A05;intoxicacao alimentar devida clostridium perfringens [ clostridium welchii ];intoxic aliment dev clostridium perfringens [ clostridium welchi ]
A05;intoxicacao alimentar devida vibrio parahemolyticus;intoxic aliment dev vibri parahemolyticus
A05;intoxicacao alimentar devida bacillus cereus;intoxic aliment dev bacillus cereus
A05;outras intoxicacoes alimentares bacterianas especificadas;outr intoxic aliment bacterian especific
A05;intoxicacao alimentar bacteriana especificada;intoxic aliment bacterian especific
A06;disenteria amebiana aguda;disent amebian agud
A06;amebiase intestinal cronica;amebias intestinal cronic
A06;colite amebiana - disenterica;colit amebian - disenter
A06;ameboma intestinal;amebom intestinal
A06;abscesso amebiano figado;abscess amebian fig
A06;abscesso amebiano pulmao;abscess amebian pulma
A06;abscesso amebiano cerebro;abscess amebian cerebr
A06;amebiase cutanea;amebias cutan
A06;infeccao amebiana outras localizacoes;infecca amebian outr localiz
A06;amebiase especificada;amebias especific
A07;balantidiase;balantidias
A07;giardiase [ lambliase ];giardias [ lamblias ]
A07;criptosporidiose;criptosporidios
A07;isosporiase;isosporias
A07;outras doencas intestinais especificadas protozoarios;outr doenc intestin especific protozoari
A07;doenca intestinal especificada protozoarios;doenc intestinal especific protozoari
A08;enterite rotavirus;enterit rotavirus
A08;gastroenteropatia aguda agente norwalk;gastroenteropat agud agent norwalk
A08;enterite adenovirus;enterit adenovirus
A08;outras enterites virais;outr enterit vir
A08;infeccao intestinal devida virus especificado;infecca intestinal dev virus especific
A08;outras infeccoes intestinais especificadas;outr infecco intestin especific
A09;diarreia gastroenterite origem infecciosa presumivel;diarr gastroenterit orig infecc presum
A15;tuberculose pulmonar , confirmacao exame microscopico expectoracao , cultura;tuberculos pulmon , confirm exam microscop expector , cultur
A15;tuberculose pulmonar , confirmacao somente cultura;tuberculos pulmon , confirm soment cultur
A15;tuberculose pulmonar , confirmacao histologica;tuberculos pulmon , confirm histolog
A15;tuberculose pulmonar , confirmacao meio especificado;tuberculos pulmon , confirm mei especific
A15;tuberculose ganglios intratoracicos , confirmacao bacteriologica histologica;tuberculos gangli intratorac , confirm bacteriolog histolog
A15;tuberculose laringe , traqueia bronquios , confirmacao bacteriologica histologica;tuberculos laring , traqu bronqui , confirm bacteriolog histolog
A15;pleuris tuberculoso , confirmacao bacteriologica histologica;pleur tubercul , confirm bacteriolog histolog
A15;tuberculose primaria vias respiratorias , confirmacao bacteriologica histologica;tuberculos primar vias respirator , confirm bacteriolog histolog
A15;outras formas tuberculose vias respiratorias , confirmacao bacteriologica histologica;outr form tuberculos vias respirator , confirm bacteriolog histolog
A15;tuberculose especificada vias respiratorias , confirmacao bacteriologica histologica;tuberculos especific vias respirator , confirm bacteriolog histolog
A16;tuberculose pulmonar exames bacteriologico histologico negativos;tuberculos pulmon exam bacteriolog histolog negat
A16;tuberculose pulmonar , realizacao exame bacteriologico histologico;tuberculos pulmon , realiz exam bacteriolog histolog
A16;tuberculose pulmonar , mencao confirmacao bacteriologica histologica;tuberculos pulmon , menca confirm bacteriolog histolog
A16;tuberculose ganglios intratoracicos , mencao confirmacao bacteriologica histologica;tuberculos gangli intratorac , menca confirm bacteriolog histolog
A16;tuberculose laringe , traqueia bronquios , mencao confirmacao bacteriologica histologica;tuberculos laring , traqu bronqui , menca confirm bacteriolog histolog
A16;pleurisia tuberculosa , mencao confirmacao bacteriologica histologica;pleuris tubercul , menca confirm bacteriolog histolog
A16;tuberculosa respiratoria primaria mencao confirmacao bacteriologica histologica;tubercul respirator primar menca confirm bacteriolog histolog
A16;outras formas tuberculose vias respiratorias , mencao confirmacao bacteriologica histologica;outr form tuberculos vias respirator , menca confirm bacteriolog histolog
A16;tuberculose respiratoria , especificada , mencao confirmacao bacteriologica histologica;tuberculos respirator , especific , menca confirm bacteriolog histolog
A17;meningite tuberculosa;meningit tubercul
A17;tuberculoma meningeo;tuberculom mening
A17;outras tuberculoses sistema nervoso;outr tuberculos sistem nervos
A17;tuberculose especificada sistema nervoso;tuberculos especific sistem nervos
A18;tuberculose ossea articulacoes;tuberculos osse articul
A18;tuberculose aparelho geniturinario;tuberculos aparelh geniturinari
A18;linfadenopatia tuberculosa periferica;linfadenopat tubercul perifer
A18;tuberculose intestino , peritonio ganglios mesentericos;tuberculos intestin , peritoni gangli mesenter
A18;tuberculose pele tecido celular subcutaneo;tuberculos pel tec celul subcutan
A18;tuberculose olho;tuberculos olho
A18;tuberculose ouvido;tuberculos ouv
A18;tuberculose supra - renais;tuberculos supr - ren
A18;tuberculose outros orgaos especificados;tuberculos outr orga especific
A19;tuberculose miliar aguda localizacao unica especificada;tuberculos mili agud localiz unic especific
A19;tuberculose miliar aguda multiplas localizacoes;tuberculos mili agud multipl localiz
A19;tuberculose miliar aguda especificada;tuberculos mili agud especific
A19;outras tuberculoses miliares;outr tuberculos mili
A19;tuberculose miliar especificada;tuberculos mili especific
A20;peste bubonica;pest bubon
A20;peste celulocutanea;pest celulocutan
A20;peste pneumonica;pest pneumon
A20;peste meningea;pest mening
A20;peste septicemica;pest septicem
A20;outras formas peste;outr form pest
A20;peste , forma especificada;pest , form especific
A21;tularemia ulceroglandular;tularem ulceroglandul
A21;tularemia oculoglandular;tularem oculoglandul
A21;tularemia pulmonar;tularem pulmon
A21;tularemia gastrointestinal;tularem gastrointestinal
A21;tularemia generalizada;tularem generaliz
A21;outras formas tularemia;outr form tularem
A21;tularemia , forma especificada;tularem , form especific
A22;carbunculo cutaneo;carbuncul cutan
A22;carbunculo pulmonar;carbuncul pulmon
A22;carbunculo gastrointestinal;carbuncul gastrointestinal
A22;septicemia carbunculosa;septicem carbuncul
A22;outras formas carbunculo;outr form carbuncul
A22;carbunculo , forma especificada;carbuncul , form especific
A23;brucelose brucella melitensis;brucelos brucell melitens
A23;brucelose brucella abortus;brucelos brucell abortus
A23;brucelose brucella suis;brucelos brucell suis
A23;brucelose brucella canis;brucelos brucell can
A23;outras bruceloses;outr brucelos
A23;brucelose especificada;brucelos especific
A24;mormo;morm
A24;melioidose aguda fulminante;melioidos agud fulmin
A24;melioidose subaguda cronica;melioidos subagud cronic
A24;outras melioidoses;outr melioidos
A24;melioidose especificada;melioidos especific
A25;espirilose;espirilos
A25;estreptobacilose;estreptobacilos
A25;febre transmitida mordedura rato , tipo especificado;febr transmit mordedur rat , tip especific
A26;erisipeloide cutaneo;erisipeloid cutan
A26;septicemia erysipelothrix;septicem erysipelothrix
A26;outras formas erisipeloide;outr form erisipeloid
A26;erisipeloide especificado;erisipeloid especific
A27;leptopirose icterohemorragica;leptopiros icterohemorrag
A27;outras formas leptospirose;outr form leptospiros
A27;leptospirose especificada;leptospiros especific
A28;pasteurelose;pasteurelos
A28;doenca arranhadura gato;doenc arranhadur gat
A28;yersiniose extra - intestinal;yersinios extra - intestinal
A28;outras doencas bacterianas zoonoticas especificadas classificadas outra parte;outr doenc bacterian zoonot especific classific outr part
A28;doenca bacteriana zoonotica especificada;doenc bacterian zoonot especific
A30;hanseniase [ lepra ] indeterminada;hansenias [ lepr ] indetermin
A30;hanseniase [ lepra ] tuberculoide;hansenias [ lepr ] tuberculoid
A30;hanseniase [ lepra ] tuberculoide borderline;hansenias [ lepr ] tuberculoid borderlin
A30;hanseniase [ lepra ] dimorfa;hansenias [ lepr ] dimorf
A30;hanseniase [ lepra ] lepromatosa borderline;hansenias [ lepr ] lepromat borderlin
A30;hanseniase [ lepra ] lepromatosa;hansenias [ lepr ] lepromat
A30;outras formas hanseniase [ lepra ];outr form hansenias [ lepr ]
A30;hanseniase [ lepra ] especificada;hansenias [ lepr ] especific
A31;infeccao pulmonar micobacteriana;infecca pulmon micobacterian
A31;infeccao cutanea micobacteriana;infecca cutan micobacterian
A31;outras infeccoes micobacterianas;outr infecco micobacterian
A31;infeccao micobacteriana especificada;infecca micobacterian especific
A32;listeriose cutanea;listerios cutan
A32;meningite meningoencefalite listeria;meningit meningoencefalit lister
A32;septicemia listeriotica;septicem listeriot
A32;outras formas listeriose;outr form listerios
A32;listeriose especificada;listerios especific
A33;tetano recem - nascido [ neonatal ];tetan recem - nasc [ neonatal ]
A34;tetano obstetrico;tetan obstetr
A35;outros tipos tetano;outr tip tetan
A36;difteria faringea;dift faring
A36;difteria nasofaringea;dift nasofaring
A36;difteria laringea;dift laring
A36;difteria cutanea;dift cutan
A36;outras formas difteria;outr form dift
A36;difteria especificada;dift especific
A37;coqueluche bordetella pertussis;coqueluch bordetell pertuss
A37;coqueluche bordetella parapertussis;coqueluch bordetell parapertuss
A37;coqueluche outras especies bordetella;coqueluch outr espec bordetell
A37;coqueluche especificada;coqueluch especific
A38;escarlatina;escarlatin
A39;meningite meningococica;meningit meningococ
A39;sindrome waterhouse - friderichsen;sindrom waterhous - friderichsen
A39;meningococcemia aguda;meningococcem agud
A39;meningococcemia cronica;meningococcem cronic
A39;meningococcemia especificada;meningococcem especific
A39;cardite meningococos;cardit meningococ
A39;outras infeccoes meningococos;outr infecco meningococ
A39;infeccao meningococica especificada;infecca meningococ especific
A40;septicemia streptococcus grupo;septicem streptococcus grup
A40;septicemia streptococcus grupo;septicem streptococcus grup
A40;septicemia streptococcus grupo;septicem streptococcus grup
A40;septicemia streptococcus pneumonia;septicem streptococcus pneumon
A40;outras septicemias estreptococicas;outr septicem estreptococ
A40;septicemia estreptococica especificada;septicem estreptococ especific
A41;septicemia staphylococcus aureus;septicem staphylococcus aureus
A41;septicemia outros estafilococos especificados;septicem outr estafilococ especific
A41;septicemia estafilococos especificados;septicem estafilococ especific
A41;septicemia haemophilus influenzae;septicem haemophilus influenza
A41;septicemia anaerobios;septicem anaerobi
A41;septicemia outros microorganismos gram - negativos;septicem outr microorgan gram - negat
A41;outras septicemias especificadas;outr septicem especific
A41;septicemia especificada;septicem especific
A42;actinomicose pulmonar;actinomicos pulmon
A42;actinomicose abdominal;actinomicos abdominal
A42;actinomicose cervicofacial;actinomicos cervicofacial
A42;septicemia actinomicotica;septicem actinomicot
A42;outras formas actinomicose;outr form actinomicos
A42;actinomicose especificada;actinomicos especific
A43;nocardiose pulmonar;nocardios pulmon
A43;nocardiose cutanea;nocardios cutan
A43;outras formas nocardiose;outr form nocardios
A43;nocardiose especificada;nocardios especific
A44;bartonelose sistemica;bartonelos sistem
A44;bartonelose cutanea cutaneo - mucosa;bartonelos cutan cutan - mucos
A44;outras formas bartonelose;outr form bartonelos
A44;bartonelose especificada;bartonelos especific
A46;erisipela;erisipel
A48;gangrena gasosa;gangren gasos
A48;doenca legionarios;doenc legionari
A48;doenca legionarios - pneumonica [ febre pontiac ];doenc legionari - pneumon [ febr pontiac ]
A48;sindrome choque toxico;sindrom choqu toxic
